epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.328,4.88869,11.2529,2.4443,0.00017,0.00904,8e-05,2e-05,4.89526,6.6262,2.32737,0.00042,0.00042,0.00042
2,148.924,3.32536,5.84319,1.46339,0.00444,0.24096,0.00295,0.00066,3.09188,4.56143,1.39299,0.00077486,0.00077486,0.00077486
3,222.717,3.12209,5.41662,1.39509,0.0055,0.29819,0.03155,0.00996,2.94885,4.32046,1.43267,0.0010426,0.0010426,0.0010426
4,296.81,3.02213,4.93908,1.31393,0.01394,0.75602,0.10838,0.02223,2.71449,3.72652,1.33243,0.00122322,0.00122322,0.00122322
5,371.443,2.86404,4.31878,1.27932,0.39626,0.32224,0.29177,0.08967,2.57731,2.83736,1.30043,0.001208,0.001208,0.001208
6,446.016,2.78565,3.88179,1.32112,0.5723,0.34258,0.42753,0.10778,2.65974,2.69724,1.33757,0.00101,0.00101,0.00101
7,520.704,2.66037,3.48302,1.26292,0.52977,0.54634,0.46483,0.14145,2.49595,2.3339,1.2862,0.000812,0.000812,0.000812
8,594.951,2.58394,3.35131,1.25742,0.38399,0.50602,0.41914,0.13481,2.43048,2.3161,1.2523,0.000614,0.000614,0.000614
9,669.63,2.48772,3.10939,1.18796,0.53392,0.61747,0.52955,0.17012,2.46692,2.11344,1.25744,0.000416,0.000416,0.000416
10,744.345,2.59094,3.4385,1.22545,0.54544,0.62349,0.55184,0.17769,2.37698,2.02909,1.23422,0.000218,0.000218,0.000218
