epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.361,4.88717,11.2628,2.44359,0.00028,0.01506,0.00014,3e-05,4.8817,6.56549,2.3177,0.00042,0.00042,0.00042
2,70.9966,3.36686,5.93201,1.50184,0.00356,0.19277,0.00223,0.0005,3.0737,4.60907,1.40201,0.00077486,0.00077486,0.00077486
3,105.582,3.26251,5.36908,1.4355,0.00678,0.36747,0.01876,0.00513,3.0897,4.23171,1.42938,0.0010426,0.0010426,0.0010426
4,139.791,3.07032,4.98435,1.31146,0.03941,0.35843,0.1303,0.02912,2.83729,3.59377,1.42168,0.00122322,0.00122322,0.00122322
5,173.772,2.90738,4.45083,1.31372,0.30014,0.16793,0.21485,0.06337,2.63759,3.05668,1.35599,0.001208,0.001208,0.001208
6,207.519,2.85179,4.10207,1.33292,0.5041,0.46386,0.39904,0.12963,2.48212,2.59862,1.296,0.00101,0.00101,0.00101
7,241.31,2.6856,3.46724,1.29367,0.5425,0.57861,0.47145,0.15119,2.42862,2.35305,1.27034,0.000812,0.000812,0.000812
8,276.106,2.59989,3.42376,1.26183,0.47555,0.60359,0.47873,0.15958,2.38274,2.22728,1.25453,0.000614,0.000614,0.000614
9,310.746,2.57774,3.2164,1.20879,0.55367,0.62349,0.55533,0.17458,2.3683,2.11841,1.24545,0.000416,0.000416,0.000416
10,345.918,2.62335,3.57416,1.243,0.52783,0.63855,0.56153,0.17648,2.35942,2.12007,1.24154,0.000218,0.000218,0.000218
